day	hour	value
1	1	9	
2	1	43	
3	1	16	
4	1	24	
5	1	35	
6	1	19	
7	1	30	
8	1	84	
9	1	21	
10	1	13	
11	1	68	
12	1	46	
13	1	52	
14	1	58	
15	1	49	
16	1	74	
17	1	63	
18	1	83	
19	1	53	
20	1	56	
21	1	53	
22	1	20	
23	1	40	
24	1	49	
25	1	46	
26	1	99	
27	1	48	
28	1	92	
29	1	89	
30	1	45	
31	1	53	
32	1	52	
33	1	71	
34	1	71	
35	1	70	
36	1	34	
37	1	50	
38	1	63	
39	1	27	
40	1	49	
41	1	47	
42	1	73	
43	1	13	
1	2	9	
2	2	42	
3	2	16	
4	2	24	
5	2	35	
6	2	17	
7	2	29	
8	2	89	
9	2	20	
10	2	13	
11	2	69	
12	2	50	
13	2	52	
14	2	58	
15	2	49	
16	2	74	
17	2	87	
18	2	82	
19	2	55	
20	2	50	
21	2	111	
22	2	34	
23	2	41	
24	2	52	
25	2	49	
26	2	99	
27	2	48	
28	2	97	
29	2	96	
30	2	46	
31	2	57	
32	2	57	
33	2	73	
34	2	74	
35	2	72	
36	2	37	
37	2	50	
38	2	66	
39	2	29	
40	2	50	
41	2	47	
42	2	76	
43	2	12	
1	3	9	
2	3	44	
3	3	21	
4	3	24	
5	3	36	
6	3	19	
7	3	29	
8	3	90	
9	3	20	
10	3	13	
11	3	70	
12	3	50	
13	3	50	
14	3	56	
15	3	47	
16	3	74	
17	3	86	
18	3	81	
19	3	57	
20	3	46	
21	3	112	
22	3	29	
23	3	36	
24	3	47	
25	3	53	
26	3	99	
27	3	46	
28	3	97	
29	3	94	
30	3	44	
31	3	57	
32	3	54	
33	3	73	
34	3	72	
35	3	70	
36	3	38	
37	3	52	
38	3	67	
39	3	30	
40	3	47	
41	3	49	
42	3	76	
43	3	13	
1	4	11	
2	4	51	
3	4	22	
4	4	28	
5	4	35	
6	4	20	
7	4	33	
8	4	84	
9	4	21	
10	4	13	
11	4	72	
12	4	54	
13	4	50	
14	4	60	
15	4	50	
16	4	79	
17	4	67	
18	4	99	
19	4	63	
20	4	53	
21	4	51	
22	4	19	
23	4	30	
24	4	51	
25	4	54	
26	4	103	
27	4	50	
28	4	104	
29	4	98	
30	4	49	
31	4	64	
32	4	56	
33	4	82	
34	4	73	
35	4	75	
36	4	36	
37	4	51	
38	4	48	
39	4	36	
40	4	50	
41	4	49	
42	4	81	
43	4	19	
1	5	9	
2	5	38	
3	5	23	
4	5	28	
5	5	37	
6	5	19	
7	5	32	
8	5	74	
9	5	21	
10	5	11	
11	5	71	
12	5	51	
13	5	48	
14	5	58	
15	5	47	
16	5	71	
17	5	71	
18	5	86	
19	5	56	
20	5	48	
21	5	62	
22	5	24	
23	5	48	
24	5	52	
25	5	54	
26	5	97	
27	5	51	
28	5	99	
29	5	94	
30	5	42	
31	5	51	
32	5	56	
33	5	76	
34	5	75	
35	5	71	
36	5	34	
37	5	50	
38	5	64	
39	5	28	
40	5	52	
41	5	48	
42	5	74	
43	5	13	
