day	hour	value
1	1	9	
2	1	43	
3	1	16	
4	1	24	
5	1	35	
6	1	19	
7	1	30	
8	1	84	
9	1	21	
10	1	13	
11	1	68	
12	1	46	
13	1	52	
14	1	58	
15	1	49	
16	1	74	
17	1	63	
18	1	83	
19	1	53	
20	1	56	
21	1	53	
22	1	20	
23	1	40	
24	1	49	
25	1	46	
26	1	99	
27	1	48	
28	1	92	
29	1	89	
30	1	45	
31	1	53	
32	1	52	
33	1	71	
34	1	71	
35	1	70	
36	1	34	
37	1	50	
38	1	63	
39	1	27	
40	1	49	
41	1	47	
42	1	73	
43	1	13	
1	2	11	
2	2	51	
3	2	22	
4	2	28	
5	2	35	
6	2	20	
7	2	33	
8	2	84	
9	2	21	
10	2	13	
11	2	72	
12	2	54	
13	2	50	
14	2	60	
15	2	50	
16	2	79	
17	2	67	
18	2	99	
19	2	63	
20	2	53	
21	2	51	
22	2	19	
23	2	30	
24	2	51	
25	2	54	
26	2	103	
27	2	50	
28	2	104	
29	2	98	
30	2	49	
31	2	64	
32	2	56	
33	2	82	
34	2	73	
35	2	75	
36	2	36	
37	2	51	
38	2	48	
39	2	36	
40	2	50	
41	2	49	
42	2	81	
43	2	19	
