day	hour	value
1	1	9	
2	1	43	
3	1	16	
4	1	24	
5	1	35	
6	1	19	
7	1	30	
8	1	84	
9	1	21	
10	1	13	
11	1	68	
12	1	46	
13	1	52	
14	1	58	
15	1	49	
16	1	74	
17	1	63	
18	1	83	
19	1	53	
20	1	56	
21	1	53	
22	1	20	
23	1	40	
24	1	49	
25	1	46	
26	1	99	
27	1	48	
28	1	92	
29	1	89	
30	1	45	
31	1	53	
32	1	52	
33	1	71	
34	1	71	
35	1	70	
36	1	34	
37	1	50	
38	1	63	
39	1	27	
40	1	49	
41	1	47	
42	1	73	
43	1	13	
1	2	9	
2	2	38	
3	2	23	
4	2	28	
5	2	37	
6	2	19	
7	2	32	
8	2	74	
9	2	21	
10	2	11	
11	2	71	
12	2	51	
13	2	48	
14	2	58	
15	2	47	
16	2	71	
17	2	71	
18	2	86	
19	2	56	
20	2	48	
21	2	62	
22	2	24	
23	2	48	
24	2	52	
25	2	54	
26	2	97	
27	2	51	
28	2	99	
29	2	94	
30	2	42	
31	2	51	
32	2	56	
33	2	76	
34	2	75	
35	2	71	
36	2	34	
37	2	50	
38	2	64	
39	2	28	
40	2	52	
41	2	48	
42	2	74	
43	2	13	
