day	hour	value
1	1	9	
2	1	43	
3	1	16	
4	1	24	
5	1	35	
6	1	19	
7	1	30	
8	1	84	
9	1	21	
10	1	13	
11	1	68	
12	1	46	
13	1	52	
14	1	58	
15	1	49	
16	1	74	
17	1	63	
18	1	83	
19	1	53	
20	1	56	
21	1	53	
22	1	20	
23	1	40	
24	1	49	
25	1	46	
26	1	99	
27	1	48	
28	1	92	
29	1	89	
30	1	45	
31	1	53	
32	1	52	
33	1	71	
34	1	71	
35	1	70	
36	1	34	
37	1	50	
38	1	63	
39	1	27	
40	1	49	
41	1	47	
42	1	73	
43	1	13	
1	2	9	
2	2	42	
3	2	16	
4	2	24	
5	2	35	
6	2	17	
7	2	29	
8	2	89	
9	2	20	
10	2	13	
11	2	69	
12	2	50	
13	2	52	
14	2	58	
15	2	49	
16	2	74	
17	2	87	
18	2	82	
19	2	55	
20	2	50	
21	2	111	
22	2	34	
23	2	41	
24	2	52	
25	2	49	
26	2	99	
27	2	48	
28	2	97	
29	2	96	
30	2	46	
31	2	57	
32	2	57	
33	2	73	
34	2	74	
35	2	72	
36	2	37	
37	2	50	
38	2	66	
39	2	29	
40	2	50	
41	2	47	
42	2	76	
43	2	12	
1	3	11	
2	3	51	
3	3	22	
4	3	28	
5	3	35	
6	3	20	
7	3	33	
8	3	84	
9	3	21	
10	3	13	
11	3	72	
12	3	54	
13	3	50	
14	3	60	
15	3	50	
16	3	79	
17	3	67	
18	3	99	
19	3	63	
20	3	53	
21	3	51	
22	3	19	
23	3	30	
24	3	51	
25	3	54	
26	3	103	
27	3	50	
28	3	104	
29	3	98	
30	3	49	
31	3	64	
32	3	56	
33	3	82	
34	3	73	
35	3	75	
36	3	36	
37	3	51	
38	3	48	
39	3	36	
40	3	50	
41	3	49	
42	3	81	
43	3	19	
1	4	9	
2	4	38	
3	4	23	
4	4	28	
5	4	37	
6	4	19	
7	4	32	
8	4	74	
9	4	21	
10	4	11	
11	4	71	
12	4	51	
13	4	48	
14	4	58	
15	4	47	
16	4	71	
17	4	71	
18	4	86	
19	4	56	
20	4	48	
21	4	62	
22	4	24	
23	4	48	
24	4	52	
25	4	54	
26	4	97	
27	4	51	
28	4	99	
29	4	94	
30	4	42	
31	4	51	
32	4	56	
33	4	76	
34	4	75	
35	4	71	
36	4	34	
37	4	50	
38	4	64	
39	4	28	
40	4	52	
41	4	48	
42	4	74	
43	4	13	
1	5	9	
2	5	44	
3	5	21	
4	5	24	
5	5	36	
6	5	19	
7	5	29	
8	5	90	
9	5	20	
10	5	13	
11	5	70	
12	5	50	
13	5	50	
14	5	56	
15	5	47	
16	5	74	
17	5	86	
18	5	81	
19	5	57	
20	5	46	
21	5	112	
22	5	29	
23	5	36	
24	5	47	
25	5	53	
26	5	99	
27	5	46	
28	5	97	
29	5	94	
30	5	44	
31	5	57	
32	5	54	
33	5	73	
34	5	72	
35	5	70	
36	5	38	
37	5	52	
38	5	67	
39	5	30	
40	5	47	
41	5	49	
42	5	76	
43	5	13	
1	6	10	
2	6	42	
3	6	18	
4	6	25	
5	6	36	
6	6	19	
7	6	29	
8	6	86	
9	6	21	
10	6	13	
11	6	70	
12	6	49	
13	6	52	
14	6	56	
15	6	49	
16	6	73	
17	6	63	
18	6	82	
19	6	55	
20	6	45	
21	6	53	
22	6	18	
23	6	36	
24	6	49	
25	6	47	
26	6	100	
27	6	47	
28	6	98	
29	6	93	
30	6	46	
31	6	54	
32	6	52	
33	6	74	
34	6	72	
35	6	70	
36	6	36	
37	6	51	
38	6	65	
39	6	28	
40	6	50	
41	6	50	
42	6	75	
43	6	13	
