day	hour	value
1	1	9	
2	1	43	
3	1	16	
4	1	24	
5	1	35	
6	1	19	
7	1	30	
8	1	84	
9	1	21	
10	1	13	
11	1	68	
12	1	46	
13	1	52	
14	1	58	
15	1	49	
16	1	74	
17	1	63	
18	1	83	
19	1	53	
20	1	56	
21	1	53	
22	1	20	
23	1	40	
24	1	49	
25	1	46	
26	1	99	
27	1	48	
28	1	92	
29	1	89	
30	1	45	
31	1	53	
32	1	52	
33	1	71	
34	1	71	
35	1	70	
36	1	34	
37	1	50	
38	1	63	
39	1	27	
40	1	49	
41	1	47	
42	1	73	
43	1	13	
1	2	7	
2	2	38	
3	2	17	
4	2	18	
5	2	32	
6	2	16	
7	2	26	
8	2	76	
9	2	17	
10	2	12	
11	2	57	
12	2	37	
13	2	47	
14	2	57	
15	2	46	
16	2	63	
17	2	88	
18	2	39	
19	2	86	
20	2	35	
21	2	104	
22	2	105	
23	2	47	
24	2	53	
25	2	56	
26	2	65	
27	2	32	
28	2	43	
29	2	63	
30	2	29	
31	2	38	
32	2	43	
33	2	64	
34	2	12	
