day	hour	value
1	1	9	
2	1	43	
3	1	16	
4	1	24	
5	1	35	
6	1	19	
7	1	30	
8	1	84	
9	1	21	
10	1	13	
11	1	68	
12	1	46	
13	1	52	
14	1	58	
15	1	49	
16	1	74	
17	1	63	
18	1	83	
19	1	53	
20	1	56	
21	1	53	
22	1	20	
23	1	40	
24	1	49	
25	1	46	
26	1	99	
27	1	48	
28	1	92	
29	1	89	
30	1	45	
31	1	53	
32	1	52	
33	1	71	
34	1	71	
35	1	70	
36	1	34	
37	1	50	
38	1	63	
39	1	27	
40	1	49	
41	1	47	
42	1	73	
43	1	13	
1	2	6	
2	2	12	
3	2	9	
4	2	7	
5	2	7	
6	2	12	
7	2	10	
8	2	19	
9	2	6	
10	2	6	
11	2	13	
12	2	12	
13	2	9	
14	2	8	
15	2	10	
16	2	15	
17	2	14	
18	2	21	
19	2	16	
20	2	16	
21	2	15	
22	2	10	
23	2	11	
24	2	12	
25	2	14	
26	2	15	
27	2	12	
28	2	16	
29	2	18	
30	2	7	
31	2	17	
32	2	11	
33	2	14	
34	2	12	
35	2	14	
36	2	10	
37	2	12	
38	2	13	
39	2	10	
40	2	11	
41	2	13	
42	2	16	
43	2	3	
